Temperatura_Media	Ano	Mes
25.0946	1933	9
25.2572	1933	10
24.9909	1933	11
25.0551	1933	12
25.0627	1934	1
24.769	1934	2
24.8458	1934	3
24.4223	1934	4
23.7542	1934	5
23.2966	1934	6
22.8629	1934	7
23.8021	1934	8
24.6721	1934	9
24.7136	1934	10
25.38	1934	11
25.237	1934	12
25.3874	1935	1
25.133	1935	2
25.3332	1935	3
24.2327	1935	4
23.3859	1935	5
23.2951	1935	6
23.2743	1935	7
23.8411	1935	8
24.7071	1935	9
25.4685	1935	10
25.359	1935	11
25.809	1935	12
25.2986	1936	1
25.3039	1936	2
25.4029	1936	3
25.0622	1936	4
24.9045	1936	5
23.7108	1936	6
23.045	1936	7
23.6173	1936	8
25.1238	1936	9
25.8227	1936	10
25.4456	1936	11
25.4745	1936	12
25.2763	1937	1
25.7709	1937	2
25.4431	1937	3
24.5277	1937	4
23.5626	1937	5
23.5221	1937	6
23.351	1937	7
24.5958	1937	8
25.0222	1937	9
25.1448	1937	10
25.7739	1937	11
25.6087	1937	12
25.5695	1938	1
25.8879	1938	2
25.2354	1938	3
24.4989	1938	4
23.9008	1938	5
23.285	1938	6
23.4273	1938	7
23.7415	1938	8
24.9397	1938	9
25.0261	1938	10
25.2799	1938	11
25.3127	1938	12
25.4231	1939	1
25.2416	1939	2
25.2266	1939	3
24.5872	1939	4
24.4672	1939	5
23.535	1939	6
22.7518	1939	7
24.0005	1939	8
24.655	1939	9
25.6032	1939	10
25.5958	1939	11
25.5389	1939	12
25.4619	1940	1
25.7041	1940	2
25.4869	1940	3
25.0382	1940	4
24.6565	1940	5
23.4778	1940	6
24.0179	1940	7
23.8799	1940	8
24.9313	1940	9
25.4738	1940	10
25.3644	1940	11
26.1085	1940	12
25.7955	1941	1
26.1292	1941	2
25.6799	1941	3
25.8928	1941	4
24.6358	1941	5
23.2953	1941	6
23.6356	1941	7
24.8099	1941	8
24.1058	1941	9
25.8862	1941	10
25.7972	1941	11
26.005	1941	12
26.2564	1942	1
25.7398	1942	2
25.8146	1942	3
25.398	1942	4
24.1434	1942	5
22.9	1942	6
22.3665	1942	7
24.3412	1942	8
25.3922	1942	9
25.5612	1942	10
25.858	1942	11
25.2783	1942	12
25.3621	1943	1
25.3918	1943	2
25.202	1943	3
24.5034	1943	4
24.5286	1943	5
23.5829	1943	6
23.3258	1943	7
22.9692	1943	8
24.515	1943	9
26.0397	1943	10
25.6657	1943	11
25.1774	1943	12
25.4578	1944	1
25.546	1944	2
25.4031	1944	3
24.617	1944	4
24.0242	1944	5
23.5956	1944	6
23.2115	1944	7
24.7568	1944	8
25.5311	1944	9
26.2225	1944	10
25.5298	1944	11
26.0072	1944	12
25.6423	1945	1
25.331	1945	2
25.4867	1945	3
25.0176	1945	4
23.2768	1945	5
22.5488	1945	6
23.2919	1945	7
25.0599	1945	8
25.3376	1945	9
25.6492	1945	10
25.546	1945	11
25.3185	1945	12
25.2571	1946	1
25.7683	1946	2
25.3514	1946	3
24.7068	1946	4
24.4576	1946	5
23.3629	1946	6
23.0809	1946	7
24.0058	1946	8
25.4504	1946	9
25.7074	1946	10
25.9481	1946	11
25.4797	1946	12
25.5285	1947	1
25.7463	1947	2
25.1614	1947	3
24.8445	1947	4
24.1196	1947	5
23.6904	1947	6
22.7861	1947	7
23.9365	1947	8
24.9213	1947	9
25.106	1947	10
25.1477	1947	11
25.0271	1947	12
25.5888	1948	1
25.5859	1948	2
24.9014	1948	3
24.7213	1948	4
24.087	1948	5
23.6453	1948	6
23.6777	1948	7
23.8485	1948	8
25.0646	1948	9
25.4287	1948	10
25.3779	1948	11
25.5492	1948	12
25.1227	1949	1
24.9089	1949	2
25.4579	1949	3
24.1491	1949	4
23.5684	1949	5
23.6744	1949	6
22.7978	1949	7
23.6891	1949	8
25.0653	1949	9
25.1746	1949	10
25.533	1949	11
25.4862	1949	12
25.1846	1950	1
25.2541	1950	2
24.6371	1950	3
24.5733	1950	4
23.8454	1950	5
23.3278	1950	6
22.973	1950	7
24.0039	1950	8
25.2182	1950	9
25.3269	1950	10
25.3602	1950	11
25.1799	1950	12
25.0395	1951	1
25.2368	1951	2
25.2317	1951	3
23.8082	1951	4
23.7836	1951	5
22.7999	1951	6
22.7836	1951	7
23.8427	1951	8
25.3295	1951	9
25.695	1951	10
25.6609	1951	11
25.3017	1951	12
25.7659	1952	1
25.6198	1952	2
25.4734	1952	3
24.3573	1952	4
23.9028	1952	5
22.5595	1952	6
23.2535	1952	7
24.2065	1952	8
24.8829	1952	9
25.6017	1952	10
25.419	1952	11
25.3253	1952	12
25.6947	1953	1
25.487	1953	2
25.3529	1953	3
24.5924	1953	4
24.3802	1953	5
23.4139	1953	6
22.367	1953	7
24.6844	1953	8
25.4388	1953	9
25.5663	1953	10
25.6856	1953	11
25.4644	1953	12
25.5888	1954	1
25.6419	1954	2
25.256	1954	3
25.3141	1954	4
24.0854	1954	5
23.785	1954	6
23.0687	1954	7
24.3722	1954	8
25.5122	1954	9
25.6512	1954	10
25.4173	1954	11
25.4183	1954	12
25.2621	1955	1
25.3479	1955	2
25.2344	1955	3
24.5869	1955	4
23.7326	1955	5
23.3966	1955	6
22.4713	1955	7
24.1986	1955	8
25.4224	1955	9
25.3637	1955	10
25.276	1955	11
25.3182	1955	12
25.3352	1956	1
25.0056	1956	2
25.1501	1956	3
24.2029	1956	4
23.4553	1956	5
22.3317	1956	6
22.9083	1956	7
23.2023	1956	8
25.0167	1956	9
25.1951	1956	10
25.0524	1956	11
25.3191	1956	12
24.8528	1957	1
25.2672	1957	2
24.8045	1957	3
24.2977	1957	4
24.4562	1957	5
23.5247	1957	6
22.614	1957	7
24.4192	1957	8
25.0184	1957	9
25.9855	1957	10
25.5926	1957	11
25.9783	1957	12
25.9824	1958	1
26.2872	1958	2
25.5592	1958	3
25.0841	1958	4
24.3749	1958	5
23.9597	1958	6
24.0434	1958	7
24.014	1958	8
25.3578	1958	9
25.7155	1958	10
25.7638	1958	11
26.0635	1958	12
25.5165	1959	1
25.7621	1959	2
25.2019	1959	3
25.4395	1959	4
24.3328	1959	5
23.2682	1959	6
23.7981	1959	7
24.1429	1959	8
25.283	1959	9
25.8715	1959	10
25.5244	1959	11
25.9401	1959	12
25.4809	1960	1
25.4728	1960	2
25.1152	1960	3
24.6474	1960	4
23.324	1960	5
23.0559	1960	6
23.0398	1960	7
23.9992	1960	8
25.2408	1960	9
25.8876	1960	10
25.3478	1960	11
25.5191	1960	12
25.6271	1961	1
25.4802	1961	2
25.632	1961	3
25.3284	1961	4
24.4492	1961	5
23.2288	1961	6
23.6503	1961	7
25.2149	1961	8
26.2987	1961	9
26.0389	1961	10
26.0989	1961	11
25.4159	1961	12
25.5438	1962	1
25.6771	1962	2
25.6178	1962	3
24.9148	1962	4
23.9141	1962	5
22.8358	1962	6
22.5361	1962	7
24.4354	1962	8
25.7778	1962	9
25.3444	1962	10
26.0434	1962	11
25.7362	1962	12
25.8965	1963	1
25.4575	1963	2
25.5524	1963	3
25.0949	1963	4
23.9669	1963	5
23.1624	1963	6
23.6122	1963	7
24.9591	1963	8
26.3245	1963	9
27.1175	1963	10
26.2356	1963	11
25.892	1963	12
25.8576	1964	1
26.0477	1964	2
25.5364	1964	3
25.3135	1964	4
24.0042	1964	5
22.9543	1964	6
23.059	1964	7
24.6494	1964	8
25.4534	1964	9
25.1896	1964	10
25.2396	1964	11
25.3605	1964	12
25.375	1965	1
25.6063	1965	2
24.9175	1965	3
24.7902	1965	4
24.4411	1965	5
23.8373	1965	6
23.6082	1965	7
24.5765	1965	8
25.911	1965	9
26.061	1965	10
25.8746	1965	11
25.9439	1965	12
26.1041	1966	1
26.0693	1966	2
25.8063	1966	3
25.2236	1966	4
24.6305	1966	5
23.8783	1966	6
23.6111	1966	7
24.1826	1966	8
25.087	1966	9
26.2059	1966	10
25.9645	1966	11
26.0525	1966	12
25.7195	1967	1
25.5744	1967	2
25.2874	1967	3
24.8882	1967	4
24.6151	1967	5
23.2286	1967	6
23.421	1967	7
24.7898	1967	8
25.9286	1967	9
26.2791	1967	10
25.7068	1967	11
25.748	1967	12
25.4465	1968	1
25.4688	1968	2
25.1636	1968	3
24.2364	1968	4
22.8539	1968	5
23.1718	1968	6
23.4426	1968	7
24.2605	1968	8
24.7041	1968	9
25.9534	1968	10
26.0706	1968	11
25.7792	1968	12
25.8073	1969	1
26.2044	1969	2
26.0797	1969	3
25.4483	1969	4
24.8626	1969	5
23.8755	1969	6
23.5351	1969	7
